num_neurons,membrane_threshold,currents_period,external_current,number_of_external_current,leak_coefficient,simulation_duration,refractory_period,guessed_critical_weight,observed_critical_synaptic_mean_weight,theoretical_critical_synaptic_mean_weight,error
1000,10.0,1,6.5,10,0.0001,2000,1,0.5,0.010663246234258768,0.009996996996996996,0.062480901465189184
1000,20.0,1,6.5,10,0.0001,2000,1,0.5,0.023115380816664702,0.020007007007007006,0.13447210038680213
1000,30.0,1,6.5,10,0.0001,2000,1,0.5,0.03419515945236523,0.030017017017017016,0.12218520112966512
1000,40.0,1,6.5,10,0.0001,2000,1,0.5,0.04534423868218654,0.040027027027027026,0.1172632248261426
1000,50.0,1,6.5,10,0.0001,2000,1,0.5,0.053550082619143353,0.05003703703703704,0.06560299088783203
1000,60.0,1,6.5,10,0.0001,2000,1,0.5,0.07092059924446109,0.060047047047047046,0.15332008349130344
1000,70.0,1,6.5,10,0.0001,2000,1,0.5,0.08415459682147233,0.07005705705705706,0.16751954494324472
1000,80.0,1,6.5,10,0.0001,2000,1,0.5,0.09670160736050926,0.08006706706706707,0.1720192740067665
1000,90.0,1,6.5,10,0.0001,2000,1,0.5,0.10854396593435167,0.09007707707707707,0.1701328000899058
1000,100.0,1,6.5,10,0.0001,2000,1,0.5,0.1184953085257941,0.10008708708708709,0.15534979120882153
1000,110.0,1,6.5,10,0.0001,2000,1,0.5,0.12457082177843387,0.1100970970970971,0.11618872280605372
